Name,Nationality,Current Rank,Previous Year Rank,Sport,earnings ($ million)
Kevin Garnett,USA,7,10,BASKETBALL,23.0
Kobe Bryant,USA,9,11,BASKETBALL,22.0
Jacques Villeneuve,Canada,10,11,AUTO RACING,20.0
Jeff Gordon,USA,10,11,AUTO RACING (NASCAR),20.0
Tiger Woods,USA,1,1,GOLF,78.0
Michael Schumacher,Germany,2,2,AUTO RACING (F1),75.0
Michael Jordan,USA,3,3,BASKETBALL,35.0
Shaq O'Neal,USA,4,5,BASKETBALL,30.5
Oscar De La Hoya,USA,5,11,BOXING,30.0
Kevin Garnett,USA,6,7,BASKETBALL,28.0
Alex Rodriguez,USA,7,11,BASEBALL,26.0
Grant Hill,USA,8,5,BASKETBALL,25.5
Andre Agassi,USA,9,11,TENNIS,24.0
Jacques Villeneuve,Canada,10,10,AUTO RACING,23.0
Tiger Woods,USA,1,1,GOLF,80.3
Michael Schumacher,Germany,2,2,AUTO RACING (F1),80.0
Peyton Manning,USA,3,11,AMERICAN FOOTBALL,42.0
Michael Jordan,USA,4,3,BASKETBALL,35.0
Shaquille O'Neal,USA,5,4,BASKETBALL,31.9
Kevin Garnett,USA,6,6,BASKETBALL,29.7
Andre Agassi,USA,7,9,TENNIS,28.2
David Beckham,UK,8,11,SOCCER,28.0
Alex Rodriguez,USA,9,7,BASEBALL,26.2
Kobe Bryant,USA,10,11,BASKETBALL,26.1
Tiger Woods,USA,1,1,GOLF,87.0
Michael Schumacher,Germany,2,2,AUTO RACING (F1),60.0
Oscar De La Hoya,USA,3,11,BOXING,38.0
Michael Vick,USA,4,11,AMERICAN FOOTBALL,37.5
Shaquille O'Neal,USA,5,5,BASKETBALL,33.4
Michael Jordan,USA,6,4,BASKETBALL,33.0
David Beckham,UK,7,8,SOCCER,32.5
Kobe Bryant,USA,8,10,BASKETBALL,28.8
Lance Armstrong,USA,9,11,CYCLING,28.0
Valentino Rossi,Italy,9,11,MOTORCYCLE GP,28.0
Tiger Woods,USA,1,1,GOLF,90.0
Michael Schumacher,Germany,2,2,AUTO RACING (F1),58.0
Muhammad Ali,USA,3,11,BOXING,55.0
Phil Mickelson,USA,4,11,GOLF,47.0
Michael Jordan,USA,5,6,BASKETBALL,32.0
Kobe Bryant,USA,6,8,BASKETBALL,31.0
Shaquille O'Neal,USA,7,5,BASKETBALL,30.0
Valentino Rossi,Italy,8,9,MOTORCYCLE GP,30.0
Alex Rodriguez,USA,9,11,BASEBALL,29.0
Tom Brady,USA,9,11,AMERICAN FOOTBALL,29.0
Tiger Woods,USA,1,1,GOLF,100.0
